index,zone,outcome,count,total,prob,ci_lower,ci_upper,confidence
0,Z0,MR,73,1419,0.0514,0.0411,0.0642,HIGH
1,Z0,CONT,414,1419,0.2918,0.2687,0.3159,HIGH
2,Z0,NEU,932,1419,0.6568,0.6317,0.6811,HIGH
3,Z1+,MR,48,301,0.1595,0.1224,0.2051,HIGH
4,Z1+,CONT,118,301,0.392,0.3386,0.4482,HIGH
5,Z1+,NEU,135,301,0.4485,0.3933,0.505,HIGH
6,Z1-,MR,66,407,0.1622,0.1295,0.2011,HIGH
7,Z1-,CONT,143,407,0.3514,0.3066,0.3989,HIGH
8,Z1-,NEU,198,407,0.4865,0.4383,0.5349,HIGH
9,Z2+,MR,112,506,0.2213,0.1873,0.2595,HIGH
10,Z2+,CONT,89,506,0.1759,0.1452,0.2115,HIGH
11,Z2+,NEU,305,506,0.6028,0.5595,0.6445,HIGH
12,Z2-,MR,92,503,0.1829,0.1516,0.219,HIGH
13,Z2-,CONT,137,503,0.2724,0.2353,0.3129,HIGH
14,Z2-,NEU,274,503,0.5447,0.501,0.5877,HIGH
15,Z3+,MR,76,306,0.2484,0.2033,0.2997,HIGH
16,Z3+,CONT,31,306,0.1013,0.0723,0.1402,HIGH
17,Z3+,NEU,199,306,0.6503,0.5953,0.7016,HIGH
18,Z3-,MR,123,486,0.2531,0.2165,0.2936,HIGH
19,Z3-,CONT,57,486,0.1173,0.0916,0.1489,HIGH
20,Z3-,NEU,306,486,0.6296,0.5858,0.6714,HIGH
